genes,label,Category_cl
CRAMP1,1,Protein Coding
CRAT,1,Protein Coding
CRB1,1,Protein Coding
CRB2,1,Protein Coding
CRB3,1,Protein Coding
CRBN,0,Protein Coding
CRCP,0,Protein Coding
CRCT1,0,Protein Coding
CREB1,0,TF
CREB3,0,TF
CREB3L1,1,TF
CREB3L2,1,TF
CREB3L3,1,TF
CREB3L4,1,TF
CREB5,1,TF
CREBBP,1,TF
CREBL2,1,TF
CREBRF,1,TF
CREBZF,0,TF
CREG1,1,TF
CREG2,0,Protein Coding
CRELD1,1,Protein Coding
CRELD2,1,Protein Coding
CREM,1,TF
CRH,0,Protein Coding
CRHBP,1,Protein Coding
CRHR1,0,Protein Coding
CRHR2,1,Protein Coding
CRIM1,1,Protein Coding
CRIP1,1,TF
CRIP2,1,TF
CRIP3,0,Protein Coding
CRIPT,0,Protein Coding
CRISP1,0,Protein Coding
CRISP2,1,Protein Coding
CRISP3,1,Protein Coding
CRISPLD1,1,Protein Coding
CRISPLD2,1,Protein Coding
CRK,0,TF
CRKL,0,Protein Coding
CRLF1,1,Protein Coding
CRLF2,0,Protein Coding
CRLF3,1,Protein Coding
CRLS1,0,Protein Coding
CRMP1,0,Protein Coding
CRNDE,1,lncRNA
CRNKL1,0,Protein Coding
CRNN,1,Protein Coding
CROCC,1,Protein Coding
CROCC2,0,Protein Coding
CROCCP1,0,Pseudogene
CROCCP2,0,Pseudogene
CROCCP3,0,Pseudogene
CROT,1,Protein Coding
CRP,1,Protein Coding
CRPP1,0,Pseudogene
CRPPA,0,Protein Coding
CRTAC1,1,Protein Coding
CRTAM,1,Protein Coding
CRTAP,1,Protein Coding
CRTC1,1,TF
CRTC2,1,Protein Coding
CRTC3,1,TF
CRX,0,TF
CRY1,1,TF
CRY2,1,TF
CRYAA,1,Protein Coding
CRYAA2,0,other
CRYAB,1,Protein Coding
CRYBA1,0,Protein Coding
CRYBA2,1,Protein Coding
CRYBA4,0,Protein Coding
CRYBB1,1,Protein Coding
CRYBB2,1,Protein Coding
CRYBB2P1,0,Pseudogene
CRYBB3,1,Protein Coding
CRYBG1,0,Protein Coding
CRYBG2,1,Protein Coding
CRYBG3,1,Protein Coding
CRYGA,1,Protein Coding
CRYGB,0,Protein Coding
CRYGC,0,Protein Coding
CRYGD,1,Protein Coding
CRYGEP,0,Pseudogene
CRYGN,0,Protein Coding
CRYGS,0,Protein Coding
CRYL1,1,Protein Coding
CRYM,1,Protein Coding
CRYM-AS1,0,lncRNA
CRYZ,1,Protein Coding
CRYZL1,0,Protein Coding
CRYZP2,0,Pseudogene
CS,0,Protein Coding
CSAD,1,Protein Coding
CSAG1,0,Protein Coding
CSAG2,0,Protein Coding
CSAG3,0,Protein Coding
CSAG4,0,Pseudogene
CSDC2,1,TF
CSDE1,1,TF
CSE1L,0,Protein Coding
CSF1,1,Protein Coding
CSF1R,1,Protein Coding
CSF2,1,Protein Coding
CSF2RA,1,Protein Coding
CSF2RB,1,Protein Coding
CSF3,1,Protein Coding
CSF3R,1,Protein Coding
CSGALNACT1,1,Protein Coding
CSGALNACT2,1,Protein Coding
CSH1,0,Protein Coding
CSH2,0,Protein Coding
CSHL1,0,Protein Coding
CSK,1,Protein Coding
CSKMT,0,Protein Coding
CSMD1,0,Protein Coding
CSMD2,1,Protein Coding
CSMD3,1,Protein Coding
CSN1S1,1,Protein Coding
CSN2,0,Protein Coding
CSN3,0,Protein Coding
CSNK1A1,1,Protein Coding
CSNK1A1L,1,Protein Coding
CSNK1A1P1,0,Pseudogene
CSNK1A1P3,0,Pseudogene
CSNK1D,1,Protein Coding
CSNK1E,1,Protein Coding
CSNK1G1,1,Protein Coding
CSNK1G2,0,Protein Coding
CSNK1G2-AS1,1,lncRNA
CSNK1G2P1,0,Pseudogene
CSNK1G3,0,Protein Coding
CSNK2A1,0,Protein Coding
CSNK2A2,0,Protein Coding
CSNK2A3,0,Protein Coding
CSNK2B,1,Protein Coding
CSPG4,1,Protein Coding
CSPG4P12,0,Pseudogene
CSPG4P13,0,Pseudogene
CSPG5,0,Protein Coding
CSPP1,0,Protein Coding
CSRNP1,1,TF
CSRNP2,0,TF
CSRNP3,1,TF
CSRP1,1,TF
CSRP2,0,TF
CSRP3,0,TF
CST1,1,Protein Coding
CST11,0,Protein Coding
CST2,1,Protein Coding
CST3,0,Protein Coding
CST4,1,Protein Coding
CST5,1,Protein Coding
CST6,1,Protein Coding
CST7,1,Protein Coding
CST8,0,Protein Coding
CST9,0,Protein Coding
CST9L,0,Protein Coding
CSTA,1,Protein Coding
CSTB,0,Protein Coding
CSTF1,0,Protein Coding
CSTF2,1,Protein Coding
CSTF2T,0,Protein Coding
CSTF3,0,Protein Coding
CSTF3-DT,0,lncRNA
CSTL1,0,Protein Coding
CT45A1,1,Protein Coding
CT45A10,0,Protein Coding
CT45A3,0,Protein Coding
CT45A5,0,Protein Coding
CT55,0,Protein Coding
CT62,0,lncRNA
CT83,1,Protein Coding
CTAG1A,0,Protein Coding
CTAG1B,1,Protein Coding
CTAG2,1,Protein Coding
CTAGE1,0,Protein Coding
CTAGE10P,0,Pseudogene
CTAGE12P,0,Pseudogene
CTAGE13P,0,Pseudogene
CTAGE15,0,Protein Coding
CTAGE6,0,Protein Coding
CTAGE7P,0,Pseudogene
CTAGE8,0,Protein Coding
CTAGE9,0,Protein Coding
CTBP1,1,TF
CTBP1-DT,0,lncRNA
CTBP2,1,TF
CTBP2P1,0,Pseudogene
CTBP2P7,0,Pseudogene
CTBS,1,Protein Coding
CTC1,1,Protein Coding
CTCF,0,TF
CTCFL,0,TF
CTDNEP1,1,Protein Coding
CTDP1,1,TF
CTDSP1,0,TF
CTDSP2,1,Protein Coding
CTDSPL,1,TF
CTDSPL2,1,Protein Coding
CTF1,1,Protein Coding
CTF2P,0,Pseudogene
CTH,0,Protein Coding
CTHRC1,1,Protein Coding
CTIF,1,Protein Coding
CTLA4,1,Protein Coding
CTNNA1,1,Protein Coding
CTNNA1P1,0,Pseudogene
CTNNA2,1,Protein Coding
CTNNA3,1,Protein Coding
CTNNAL1,1,Protein Coding
CTNNB1,0,TF
CTNNBIP1,1,TF
CTNNBL1,1,TF
CTNND1,1,TF
CTNND2,1,TF
CTNS,1,Protein Coding
CTPS1,0,Protein Coding
CTPS2,1,Protein Coding
CTR9,0,TF
CTRB1,1,Protein Coding
CTRB2,1,Protein Coding
CTRC,1,Protein Coding
CTRL,1,Protein Coding
CTSA,1,Protein Coding
CTSB,1,Protein Coding
CTSC,1,Protein Coding
CTSD,1,Protein Coding
CTSE,1,Protein Coding
CTSF,0,Protein Coding
CTSG,1,Protein Coding
CTSH,1,Protein Coding
CTSK,1,Protein Coding
CTSL,1,Protein Coding
CTSL3P,0,Pseudogene
CTSLP2,0,Pseudogene
CTSO,1,Protein Coding
CTSS,1,Protein Coding
CTSV,1,Protein Coding
CTSW,1,Protein Coding
CTSZ,1,Protein Coding
CTTN,1,Protein Coding
CTTNBP2,1,Protein Coding
CTTNBP2NL,1,Protein Coding
CTU1,1,Protein Coding
CTU2,0,Protein Coding
CTXN1,1,Protein Coding
CTXN2,0,Protein Coding
CTXN3,0,Protein Coding
CTXND1,0,Protein Coding
CUBN,1,Protein Coding
CUBNP2,0,Pseudogene
CUEDC1,0,Protein Coding
CUEDC2,0,Protein Coding
CUL1,1,TF
CUL2,1,TF
CUL3,0,TF
CUL4A,0,TF
CUL4B,0,TF
CUL5,0,TF
CUL7,0,Protein Coding
CUL9,1,Protein Coding
CUTA,1,Protein Coding
CUTALP,0,Pseudogene
CUTC,1,Protein Coding
CUX1,1,TF
CUX2,0,TF
CUZD1,1,Protein Coding
CWC15,1,Protein Coding
CWC22,1,Protein Coding
CWC25,1,Protein Coding
CWC27,0,Protein Coding
CWF19L1,1,Protein Coding
CWF19L2,1,Protein Coding
CWH43,0,Protein Coding
CX3CL1,1,Protein Coding
CX3CR1,1,Protein Coding
CXADR,0,Protein Coding
CXCL1,1,Protein Coding
CXCL10,1,Protein Coding
CXCL11,1,Protein Coding
CXCL12,1,Protein Coding
CXCL13,1,Protein Coding
CXCL14,1,Protein Coding
CXCL16,1,Protein Coding
CXCL17,1,Protein Coding
CXCL2,1,Protein Coding
CXCL3,1,Protein Coding
CXCL5,1,Protein Coding
CXCL6,1,Protein Coding
CXCL8,1,Protein Coding
CXCL9,1,Protein Coding
CXCR1,1,Protein Coding
CXCR2,1,Protein Coding
CXCR2P1,0,Pseudogene
CXCR3,1,Protein Coding
CXCR4,1,Protein Coding
CXCR5,0,Protein Coding
CXCR6,1,Protein Coding
CXXC1,0,TF
CXXC4,1,Protein Coding
CXXC5,1,Protein Coding
CYB561,1,Protein Coding
CYB561A3,1,Protein Coding
CYB561D1,1,Protein Coding
CYB561D2,0,Protein Coding
CYB5A,1,Protein Coding
CYB5B,0,Protein Coding
CYB5D1,0,Protein Coding
CYB5D2,1,Protein Coding
CYB5R1,0,Protein Coding
CYB5R2,0,Protein Coding
CYB5R3,1,Protein Coding
CYB5R4,1,Protein Coding
CYB5RL,1,Protein Coding
CYBA,1,Protein Coding
CYBB,1,Protein Coding
CYBC1,0,Protein Coding
CYBRD1,1,Protein Coding
CYC1,0,Protein Coding
CYCS,1,Protein Coding
CYCSP24,0,Pseudogene
CYCSP44,0,Pseudogene
CYFIP1,1,Protein Coding
CYFIP2,0,Protein Coding
CYGB,1,Protein Coding
CYHR1,1,Protein Coding
CYLC2,0,Protein Coding
CYLD,1,Protein Coding
CYMP,0,Pseudogene
CYP11A1,1,Protein Coding
CYP11B1,1,Protein Coding
CYP11B2,0,Protein Coding
CYP17A1,1,Protein Coding
CYP19A1,1,Protein Coding
CYP1A1,1,Protein Coding
CYP1A2,1,Protein Coding
CYP1B1,1,Protein Coding
CYP1B1-AS1,0,lncRNA
CYP1D1P,0,Pseudogene
CYP20A1,1,Protein Coding
CYP21A2,1,Protein Coding
CYP24A1,1,Protein Coding
CYP26A1,1,Protein Coding
CYP26B1,0,Protein Coding
CYP26C1,1,Protein Coding
CYP27A1,1,Protein Coding
CYP27B1,1,Protein Coding
CYP27C1,1,Protein Coding
CYP2A13,1,Protein Coding
CYP2A6,1,Protein Coding
CYP2A7,0,Protein Coding
CYP2B6,1,Protein Coding
CYP2B7P,0,Pseudogene
CYP2C18,1,Protein Coding
CYP2C19,0,Protein Coding
CYP2C8,1,Protein Coding
CYP2C9,1,Protein Coding
CYP2D6,1,Protein Coding
CYP2D8P,0,Pseudogene
CYP2E1,1,Protein Coding
CYP2F1,0,Protein Coding
CYP2G1P,0,Pseudogene
CYP2J2,0,Protein Coding
CYP2R1,1,Protein Coding
CYP2S1,1,Protein Coding
CYP2U1,1,Protein Coding
CYP2U1-AS1,0,lncRNA
CYP2W1,1,Protein Coding
CYP39A1,1,Protein Coding
CYP3A4,1,Protein Coding
CYP3A43,1,Protein Coding
CYP3A5,1,Protein Coding
CYP3A7,1,Protein Coding
CYP46A1,0,Protein Coding
CYP4A11,1,Protein Coding
CYP4A22,0,Protein Coding
CYP4A22-AS1,0,lncRNA
CYP4B1,1,Protein Coding
CYP4F11,1,Protein Coding
CYP4F12,0,Protein Coding
CYP4F2,0,Protein Coding
CYP4F22,0,Protein Coding
CYP4F23P,0,Pseudogene
CYP4F3,1,Protein Coding
CYP4F30P,0,Pseudogene
CYP4F32P,0,Pseudogene
CYP4F8,0,Protein Coding
CYP4V2,1,Protein Coding
CYP4X1,1,Protein Coding
CYP4Z1,0,Protein Coding
CYP4Z2P,0,Pseudogene
CYP51A1,1,Protein Coding
CYP51A1-AS1,0,lncRNA
CYP51A1P1,0,Pseudogene
CYP51A1P2,0,Pseudogene
CYP51A1P3,0,Pseudogene
CYP7A1,0,Protein Coding
CYP7B1,1,Protein Coding
CYP8B1,0,Protein Coding
CYREN,0,Protein Coding
CYRIA,0,Protein Coding
CYRIB,0,Protein Coding
CYS1,1,Protein Coding
CYSLTR1,1,Protein Coding
CYSLTR2,1,Protein Coding
CYSRT1,1,Protein Coding
CYSTM1,1,Protein Coding
CYTH1,1,Protein Coding
CYTH2,1,Protein Coding
CYTH3,1,Protein Coding
CYTH4,1,Protein Coding
CYTIP,1,Protein Coding
CYTL1,1,Protein Coding
CYTOR,1,lncRNA
CYYR1,1,Protein Coding
CYYR1-AS1,0,lncRNA
CZIB,0,Protein Coding
D2HGDH,1,Protein Coding
DAAM1,0,Protein Coding
DAAM2,1,Protein Coding
DAB1,1,Protein Coding
DAB1-AS1,0,lncRNA
DAB2,1,TF
DAB2IP,1,Protein Coding
DACH1,1,TF
DACH2,0,TF
DACT1,0,Protein Coding
DACT2,1,Protein Coding
DACT3,1,Protein Coding
DACT3-AS1,0,lncRNA
DAD1,1,Protein Coding
DAG1,1,Protein Coding
DAGLA,0,Protein Coding
DAGLB,1,Protein Coding
DALRD3,0,Protein Coding
DANCR,0,lncRNA
DAND5,1,Protein Coding
DANT1,0,lncRNA
DANT2,0,lncRNA
DAO,0,Protein Coding
DAOA,0,Protein Coding
DAP,1,Protein Coding
DAP3,0,Protein Coding
DAPK1,1,Protein Coding
DAPK1-IT1,0,lncRNA
DAPK2,1,Protein Coding
DAPK3,1,Protein Coding
DAPL1,1,Protein Coding
DAPP1,1,Protein Coding
DARS1,0,Protein Coding
DARS2,1,Protein Coding
DAW1,0,Protein Coding
DAXX,0,TF
DAZ1,0,Protein Coding
DAZ2,0,Protein Coding
DAZ3,0,Protein Coding
DAZ4,0,Protein Coding
DAZAP1,0,Protein Coding
DAZAP2,1,TF
DAZAP2P1,0,Pseudogene
DAZL,0,Protein Coding
DBET,0,lncRNA
DBF4,1,Protein Coding
DBF4B,0,Protein Coding
DBH,0,Protein Coding
DBH-AS1,1,lncRNA
DBI,0,Protein Coding
DBIL5P,0,Pseudogene
DBIL5P2,0,Pseudogene
DBIP2,0,Pseudogene
DBN1,1,Protein Coding
DBNDD1,1,Protein Coding
DBNDD2,0,Protein Coding
DBNL,1,Protein Coding
DBP,0,TF
DBR1,1,Protein Coding
DBT,1,Protein Coding
DBX1,0,TF
DBX2,0,TF
DCAF1,1,Protein Coding
DCAF10,0,Protein Coding
DCAF11,1,Protein Coding
DCAF12,1,Protein Coding
DCAF12L1,0,Protein Coding
DCAF12L2,1,Protein Coding
DCAF13,1,Protein Coding
DCAF13P2,0,Pseudogene
DCAF15,1,Protein Coding
DCAF16,0,Protein Coding
DCAF17,0,Protein Coding
DCAF4,0,Protein Coding
DCAF4L1,0,Protein Coding
DCAF4L2,0,Protein Coding
DCAF5,1,Protein Coding
DCAF6,1,Protein Coding
DCAF7,0,Protein Coding
DCAF8,0,Protein Coding
DCAF8L1,0,Protein Coding
DCAF8L2,0,Protein Coding
DCAKD,1,Protein Coding
DCBLD1,1,Protein Coding
DCBLD2,1,Protein Coding
DCC,1,Protein Coding
DCD,1,Protein Coding
DCDC1,1,Protein Coding
DCDC2,1,Protein Coding
DCDC2B,0,Protein Coding
DCHS1,1,Protein Coding
DCHS2,1,Protein Coding
DCK,1,Protein Coding
DCLK1,0,Protein Coding
DCLK2,1,Protein Coding
DCLK3,1,Protein Coding
DCLRE1A,0,Protein Coding
DCLRE1B,0,Protein Coding
DCLRE1C,1,Protein Coding
DCN,1,Protein Coding
DCP1A,0,TF
DCP1B,1,Protein Coding
DCP2,1,Protein Coding
DCPS,1,Protein Coding
DCST1,0,Protein Coding
DCST1-AS1,1,lncRNA
DCST2,0,Protein Coding
DCSTAMP,1,Protein Coding
DCT,0,Protein Coding
DCTD,1,Protein Coding
DCTN1,1,Protein Coding
DCTN1-AS1,0,lncRNA
DCTN2,0,Protein Coding
DCTN3,1,Protein Coding
DCTN4,1,Protein Coding
DCTN5,0,Protein Coding
DCTN6,1,Protein Coding
DCTPP1,1,Protein Coding
DCUN1D1,0,Protein Coding
DCUN1D2,1,Protein Coding
DCUN1D3,0,Protein Coding
DCUN1D4,1,Protein Coding
DCUN1D5,0,Protein Coding
DCX,1,Protein Coding
DCXR,0,Protein Coding
DDA1,1,Protein Coding
DDAH1,1,Protein Coding
DDAH2,0,Protein Coding
DDB1,0,TF
DDB2,1,TF
DDC,1,Protein Coding
DDC-AS1,0,lncRNA
DDHD1,1,Protein Coding
DDHD2,1,Protein Coding
DDI1,0,Protein Coding
DDI2,0,Protein Coding
DDIAS,1,Protein Coding
DDIT3,1,TF
DDIT4,1,Protein Coding
DDIT4L,0,Protein Coding
DDN,1,Protein Coding
DDO,0,Protein Coding
DDOST,1,Protein Coding
DDR1,1,Protein Coding
DDR1-DT,0,lncRNA
DDR2,1,Protein Coding
DDRGK1,1,Protein Coding
DDT,1,Protein Coding
DDTL,1,Protein Coding
DDX1,0,Protein Coding
DDX10,1,Protein Coding
DDX10P1,0,Pseudogene
DDX10P2,0,Pseudogene
DDX11,0,Protein Coding
DDX11-AS1,1,lncRNA
DDX11L2,0,Pseudogene
DDX11L8,0,Pseudogene
DDX12P,0,Pseudogene
DDX17,1,Protein Coding
DDX18,0,Protein Coding
DDX18P1,0,Pseudogene
DDX18P6,0,Pseudogene
DDX19A,1,Protein Coding
DDX19B,1,Protein Coding
DDX20,0,TF
DDX21,1,Protein Coding
DDX23,1,Protein Coding
DDX24,1,Protein Coding
DDX25,1,Protein Coding
DDX27,0,Protein Coding
DDX28,1,Protein Coding
DDX31,0,Protein Coding
DDX39A,1,Protein Coding
DDX39B,1,Protein Coding
DDX39B-AS1,0,lncRNA
DDX3P3,0,Pseudogene
DDX3X,1,TF
DDX3Y,0,Protein Coding
DDX4,0,Protein Coding
DDX41,0,Protein Coding
DDX42,0,Protein Coding
DDX43,0,Protein Coding
DDX46,1,Protein Coding
DDX47,0,Protein Coding
DDX49,1,Protein Coding
DDX5,1,TF
DDX50,0,Protein Coding
DDX50P1,0,Pseudogene
DDX51,1,Protein Coding
DDX52,0,Protein Coding
DDX53,0,Protein Coding
DDX54,1,TF
DDX55,0,Protein Coding
DDX56,0,Protein Coding
DDX58,1,Protein Coding
DDX59,0,Protein Coding
DDX6,1,Protein Coding
DDX60,0,Protein Coding
DDX60L,1,Protein Coding
DDX6P2,0,Pseudogene
DEAF1,0,TF
DECR1,0,Protein Coding
DECR2,1,Protein Coding
DEDD,1,TF
DEDD2,0,TF
DEF6,1,Protein Coding
DEF8,1,Protein Coding
DEFA3,1,Protein Coding
DEFA4,0,Protein Coding
DEFA5,0,Protein Coding
DEFA6,1,Protein Coding
DEFB1,1,Protein Coding
DEFB103A,0,Protein Coding
DEFB103B,0,Protein Coding
DEFB108B,0,Protein Coding
DEFB109A,0,Pseudogene
DEFB118,0,Protein Coding
DEFB119,0,Protein Coding
DEFB123,0,Protein Coding
DEFB124,0,Protein Coding
DEFB125,0,Protein Coding
DEFB126,0,Protein Coding
DEFB127,0,Protein Coding
DEFB129,0,Protein Coding
DEFB131A,0,Protein Coding
DEFB132,0,Protein Coding
DEFB134,0,Protein Coding
DEFB135,0,Protein Coding
DEFB4A,1,Protein Coding
DEFB4B,1,Protein Coding
DEGS1,0,Protein Coding
DEK,1,TF
DELE1,0,Protein Coding
DELEC1,0,lncRNA
DENND10,0,Protein Coding
DENND10P1,0,Pseudogene
DENND11,0,Protein Coding
DENND1A,1,Protein Coding
DENND1B,0,Protein Coding
DENND1C,1,Protein Coding
DENND2A,1,Protein Coding
DENND2B,0,Protein Coding
DENND2C,0,Protein Coding
DENND2D,0,Protein Coding
DENND3,1,Protein Coding
DENND4A,0,TF
DENND4B,1,Protein Coding
DENND4C,0,Protein Coding
DENND5A,1,Protein Coding
DENND5B,0,Protein Coding
DENND5B-AS1,1,lncRNA
DENND6A,1,Protein Coding
DENND6B,1,Protein Coding
DENR,0,Protein Coding
DEPDC1,1,TF
DEPDC1B,1,TF
DEPDC4,0,TF
DEPDC5,0,TF
DEPDC7,1,TF
DEPP1,0,Protein Coding
DEPTOR,1,TF
DERA,1,Protein Coding
DERL1,1,Protein Coding
DERL2,1,Protein Coding
DERL3,1,Protein Coding
DES,1,Protein Coding
DESI1,1,Protein Coding
DESI2,1,Protein Coding
DET1,1,Protein Coding
DEUP1,1,Protein Coding
DEXI,1,Protein Coding
DFFA,0,Protein Coding
DFFB,0,Protein Coding
DGAT1,0,Protein Coding
DGAT2,1,Protein Coding
DGAT2L6,0,Protein Coding
DGCR11,0,lncRNA
DGCR2,1,Protein Coding
DGCR5,0,lncRNA
DGCR6,1,Protein Coding
DGCR6L,1,Protein Coding
DGCR8,1,Protein Coding
DGKA,0,Protein Coding
DGKB,0,Protein Coding
DGKD,1,Protein Coding
DGKE,1,Protein Coding
DGKG,1,Protein Coding
DGKH,1,Protein Coding
DGKI,1,Protein Coding
DGKK,1,Protein Coding
DGKQ,1,Protein Coding
DGKZ,0,Protein Coding
DGKZP1,0,Pseudogene
DGLUCY,0,Protein Coding
DGUOK,1,Protein Coding
DHCR24,1,Protein Coding
DHCR7,1,Protein Coding
DHDDS,1,Protein Coding
DHDH,0,Protein Coding
DHFR,1,Protein Coding
DHFR2,0,Protein Coding
DHH,1,Protein Coding
DHODH,0,Protein Coding
DHPS,0,Protein Coding
DHRS1,1,Protein Coding
DHRS11,1,Protein Coding
DHRS12,1,Protein Coding
DHRS13,0,Protein Coding
DHRS2,1,Protein Coding
DHRS3,0,Protein Coding
DHRS4,1,Protein Coding
DHRS4-AS1,1,lncRNA
DHRS4L1,0,Pseudogene
DHRS4L2,1,Protein Coding
DHRS7,1,Protein Coding
DHRS7B,1,Protein Coding
DHRS7C,0,Protein Coding
DHRS9,1,Protein Coding
DHRSX,1,Protein Coding
DHTKD1,1,Protein Coding
DHX15,1,Protein Coding
DHX16,1,Protein Coding
DHX29,1,Protein Coding
DHX30,0,Protein Coding
DHX32,1,Protein Coding
DHX33,1,Protein Coding
DHX34,1,TF
DHX35,0,Protein Coding
DHX36,0,Protein Coding
DHX37,1,Protein Coding
DHX38,0,TF
DHX40,0,Protein Coding
DHX57,1,TF
DHX58,1,Protein Coding
DHX8,0,Protein Coding
DHX9,1,Protein Coding
DHX9P1,0,Pseudogene
DIABLO,1,Protein Coding
DIAPH1,1,Protein Coding
DIAPH2,1,Protein Coding
DIAPH2-AS1,0,lncRNA
DIAPH3,0,Protein Coding
DICER1,1,Protein Coding
DICER1-AS1,1,lncRNA
DIDO1,0,TF
DIMT1,1,Protein Coding
DIO1,1,Protein Coding
DIO2,1,Protein Coding
DIO3,1,Protein Coding
DIO3OS,1,lncRNA
DIP2A,1,Protein Coding
DIP2A-IT1,0,lncRNA
DIP2B,1,Protein Coding
DIP2C,1,TF
DIPK1A,0,Protein Coding
DIPK1B,0,Protein Coding
DIPK1C,0,Protein Coding
DIPK2A,0,Protein Coding
DIPK2B,0,Protein Coding
DIRAS1,0,Protein Coding
DIRAS2,0,Protein Coding
DIRAS3,1,Protein Coding
DIRC3,0,lncRNA
DIS3,1,Protein Coding
DIS3L,1,Protein Coding
DIS3L2,1,Protein Coding
DISC1,1,Protein Coding
DISC1FP1,0,lncRNA
DISC1-IT1,0,lncRNA
DISP1,1,Protein Coding
DISP2,1,Protein Coding
DISP3,0,Protein Coding
DIXDC1,1,Protein Coding
DKC1,0,Protein Coding
DKK1,1,Protein Coding
DKK2,1,Protein Coding
DKK3,1,Protein Coding
DKK4,1,Protein Coding
DKKL1,0,Protein Coding
DLAT,0,Protein Coding
DLC1,1,Protein Coding
DLD,0,Protein Coding
DLEC1,1,Protein Coding
DLEU1,0,lncRNA
DLEU2,1,lncRNA
DLEU2L,0,lncRNA
DLEU7,1,Protein Coding
DLG1,0,Protein Coding
DLG1-AS1,0,lncRNA
DLG2,0,Protein Coding
DLG3,1,Protein Coding
DLG4,1,Protein Coding
DLG5,1,Protein Coding
DLG5-AS1,0,lncRNA
DLGAP1,1,Protein Coding
DLGAP1-AS1,0,lncRNA
DLGAP1-AS2,0,lncRNA
DLGAP1-AS3,0,lncRNA
DLGAP1-AS5,0,lncRNA
DLGAP2,1,Protein Coding
DLGAP2-AS1,0,lncRNA
DLGAP3,0,Protein Coding
DLGAP4,0,Protein Coding
DLGAP4-AS1,0,lncRNA
DLGAP5,1,Protein Coding
DLK1,1,Protein Coding
DLK2,0,Protein Coding
DLL1,0,Protein Coding
DLL3,0,Protein Coding
DLL4,1,Protein Coding
DLST,1,Protein Coding
DLX1,0,TF
DLX2,1,TF
DLX3,1,TF
DLX4,1,TF
DLX5,0,TF
DLX6,0,TF
DLX6-AS1,1,lncRNA
DMAC1,1,Protein Coding
DMAC2,0,Protein Coding
DMAC2L,0,Protein Coding
DMAP1,0,TF
DMBT1,1,Protein Coding
DMBT1L1,0,Pseudogene
DMBX1,1,TF
DMC1,1,TF
DMD,0,Protein Coding
DMGDH,1,Protein Coding
DMKN,1,Protein Coding
DMP1,1,Protein Coding
DMPK,1,Protein Coding
DMRT1,0,TF
DMRT2,0,TF
DMRT3,0,TF
DMRTA1,1,TF
DMRTA2,0,TF
DMRTB1,0,TF
DMRTC1B,0,TF
DMRTC2,0,TF
DMTF1,1,TF
DMTN,1,Protein Coding
DMWD,1,Protein Coding
DMXL1,0,Protein Coding
DMXL2,1,Protein Coding
DNA2,0,Protein Coding
DNAAF1,1,Protein Coding
DNAAF2,1,Protein Coding
DNAAF3,1,Protein Coding
DNAAF4,1,Protein Coding
DNAAF5,1,Protein Coding
DNAAF6,0,Protein Coding
DNAH1,1,Protein Coding
DNAH10,0,Protein Coding
DNAH10OS,0,Protein Coding
DNAH11,0,Protein Coding
DNAH12,1,Protein Coding
DNAH14,1,Protein Coding
DNAH17,1,Protein Coding
DNAH17-AS1,0,lncRNA
DNAH2,0,Protein Coding
DNAH3,1,Protein Coding
DNAH5,1,Protein Coding
DNAH6,0,Protein Coding
DNAH7,1,Protein Coding
DNAH8,0,Protein Coding
DNAH9,0,Protein Coding
DNAI1,0,Protein Coding
DNAI2,0,Protein Coding
DNAI3,0,Protein Coding
DNAI4,0,Protein Coding
DNAJA1,1,Protein Coding
DNAJA1P3,0,Pseudogene
DNAJA2,1,Protein Coding
DNAJA3,1,TF
DNAJA4,1,Protein Coding
DNAJB1,1,Protein Coding
DNAJB11,0,Protein Coding
DNAJB12,1,Protein Coding
DNAJB13,0,Protein Coding
DNAJB14,0,Protein Coding
DNAJB2,0,Protein Coding
DNAJB3,0,other
DNAJB4,1,Protein Coding
DNAJB5,1,Protein Coding
DNAJB6,1,TF
DNAJB7,1,Protein Coding
DNAJB8,0,Protein Coding
DNAJB9,0,Protein Coding
DNAJC1,1,TF
DNAJC10,0,Protein Coding
DNAJC11,0,Protein Coding
DNAJC12,1,Protein Coding
DNAJC13,1,Protein Coding
DNAJC14,1,Protein Coding
DNAJC15,0,Protein Coding
DNAJC16,1,Protein Coding
DNAJC17,1,Protein Coding
DNAJC18,0,Protein Coding
DNAJC19,1,Protein Coding
DNAJC19P5,0,Pseudogene
DNAJC2,0,TF
DNAJC21,0,TF
DNAJC22,1,Protein Coding
DNAJC24,0,Protein Coding
DNAJC25,1,Protein Coding
DNAJC27,1,Protein Coding
DNAJC27-AS1,1,lncRNA
DNAJC28,0,Protein Coding
DNAJC3,1,Protein Coding
DNAJC30,1,Protein Coding
DNAJC3-DT,0,lncRNA
DNAJC4,0,Protein Coding
DNAJC5,1,Protein Coding
DNAJC5B,0,Protein Coding
DNAJC5G,0,Protein Coding
DNAJC6,1,Protein Coding
DNAJC7,0,Protein Coding
DNAJC8,0,Protein Coding
DNAJC8P1,0,Pseudogene
DNAJC9,0,Protein Coding
DNAJC9-AS1,0,lncRNA
DNAL1,1,Protein Coding
DNAL4,1,Protein Coding
DNALI1,1,Protein Coding
DNASE1,1,Protein Coding
DNASE1L1,0,Protein Coding
DNASE1L2,0,Protein Coding
DNASE1L3,1,Protein Coding
DNASE2,1,Protein Coding
DNASE2B,1,Protein Coding
DNER,1,Protein Coding
